#Frame	Tilt	azi_15
0	25.29	121.07
1	26.77	131.37
2	26.29	124.25
3	25.26	125.41
4	27.53	121.90
5	25.18	125.63
6	26.62	127.71
7	24.00	125.40
8	21.91	126.97
9	24.99	127.30
