#Frame	Tilt	azi_15
0	25.50	125.02
1	26.60	117.01
2	25.47	131.43
3	25.71	126.12
4	23.71	125.18
5	24.00	123.99
6	24.59	126.61
7	26.97	117.75
8	25.89	119.80
9	27.70	124.05
